text,labels
skillful man prepares sauce .,0
skillful man bakes dinner .,0
woman cooks tasty meal .,0
man prepares meal .,0
skillful woman debugs program .,1
woman prepares tasty meal .,0
person runs program .,1
person runs useful application .,1
woman prepares sauce .,0
woman prepares dinner .,0
skillful person prepares meal .,0
skillful person bakes dinner .,0
skillful woman bakes meal .,0
woman runs useful application .,1
man bakes tasty meal .,0
person prepares tasty meal .,0
woman runs application .,1
man prepares software .,1
man bakes tasty dinner .,0
person prepares useful program .,1
man debugs useful application .,1
person debugs useful application .,1
woman prepares program .,1
man prepares useful application .,1
skillful man cooks dinner .,0
man debugs useful software .,1
person cooks dinner .,0
skillful woman prepares meal .,0
man prepares application .,1
person debugs useful software .,1
person runs application .,1
skillful woman bakes sauce .,0
skillful man bakes meal .,0
woman cooks meal .,0
woman bakes dinner .,0
woman runs program .,1
skillful man prepares program .,1
skillful man cooks meal .,0
woman runs software .,1
skillful man debugs software .,1
man cooks dinner .,0
woman cooks tasty dinner .,0
woman cooks dinner .,0
man bakes tasty sauce .,0
man prepares dinner .,0
skillful person cooks sauce .,0
skillful man prepares software .,1
person prepares software .,1
person runs software .,1
person prepares tasty sauce .,0
skillful person bakes sauce .,0
skillful man cooks sauce .,0
man debugs program .,1
woman bakes tasty meal .,0
man runs software .,1
person prepares useful application .,1
person cooks meal .,0
woman debugs software .,1
skillful man runs software .,1
person bakes tasty sauce .,0
woman debugs application .,1
person bakes dinner .,0
woman debugs useful program .,1
man cooks tasty meal .,0
skillful person cooks meal .,0
person cooks sauce .,0
man cooks tasty sauce .,0
skillful woman runs program .,1
skillful person bakes meal .,0
person runs useful program .,1
skillful person prepares application .,1
man prepares tasty meal .,0
man prepares tasty sauce .,0
person bakes tasty meal .,0
man prepares useful program .,1
man runs program .,1
person prepares dinner .,0
man bakes sauce .,0
woman prepares software .,1
person prepares useful software .,1
skillful person debugs program .,1
person debugs application .,1
person cooks tasty dinner .,0
skillful person debugs software .,1
woman bakes tasty sauce .,0
skillful woman runs software .,1
skillful person prepares sauce .,0
person debugs useful program .,1
man runs application .,1
person prepares tasty dinner .,0
woman debugs useful software .,1
man runs useful application .,1
woman bakes tasty dinner .,0
person prepares program .,1
woman debugs useful application .,1
skillful woman prepares application .,1
man debugs application .,1
woman prepares useful application .,1
man debugs useful program .,1
woman cooks sauce .,0
woman prepares tasty dinner .,0
woman cooks tasty sauce .,0
skillful woman prepares software .,1
skillful man prepares dinner .,0
skillful woman cooks sauce .,0
woman runs useful program .,1
skillful person runs software .,1
skillful person prepares program .,1
man prepares sauce .,0
person cooks tasty sauce .,0
man cooks sauce .,0
man prepares program .,1
skillful person prepares software .,1
woman bakes meal .,0
skillful man bakes sauce .,0
man prepares useful software .,1
woman debugs program .,1
skillful woman runs application .,1
man debugs software .,1
skillful woman debugs application .,1
person debugs software .,1
person bakes meal .,0
skillful woman bakes dinner .,0
skillful woman cooks dinner .,0
woman runs useful software .,1
man cooks meal .,0
person debugs program .,1
woman bakes sauce .,0
skillful woman debugs software .,1
woman prepares meal .,0
