,labels,text
0,0,skillful man prepares sauce .
1,0,skillful man bakes dinner .
2,0,woman cooks tasty meal .
3,0,man prepares meal .
4,1,skillful woman debugs program .
5,0,woman prepares tasty meal .
6,1,person runs program .
7,1,person runs useful application .
8,0,woman prepares sauce .
9,0,woman prepares dinner .
10,0,skillful person prepares meal .
11,0,skillful person bakes dinner .
12,0,skillful woman bakes meal .
13,1,woman runs useful application .
14,0,man bakes tasty meal .
15,0,person prepares tasty meal .
16,1,woman runs application .
17,1,man prepares software .
18,0,man bakes tasty dinner .
19,1,person prepares useful program .
20,1,man debugs useful application .
21,1,person debugs useful application .
22,1,woman prepares program .
23,1,man prepares useful application .
24,0,skillful man cooks dinner .
25,1,man debugs useful software .
26,0,person cooks dinner .
27,0,skillful woman prepares meal .
28,1,man prepares application .
29,1,person debugs useful software .
30,1,person runs application .
31,0,skillful woman bakes sauce .
32,0,skillful man bakes meal .
33,0,woman cooks meal .
34,0,woman bakes dinner .
35,1,woman runs program .
36,1,skillful man prepares program .
37,0,skillful man cooks meal .
38,1,woman runs software .
39,1,skillful man debugs software .
40,0,man cooks dinner .
41,0,woman cooks tasty dinner .
42,0,woman cooks dinner .
43,0,man bakes tasty sauce .
44,0,man prepares dinner .
45,0,skillful person cooks sauce .
46,1,skillful man prepares software .
47,1,person prepares software .
48,1,person runs software .
49,0,person prepares tasty sauce .
50,0,skillful person bakes sauce .
51,0,skillful man cooks sauce .
52,1,man debugs program .
53,0,woman bakes tasty meal .
54,1,man runs software .
55,1,person prepares useful application .
56,0,person cooks meal .
57,1,woman debugs software .
58,1,skillful man runs software .
59,0,person bakes tasty sauce .
60,1,woman debugs application .
61,0,person bakes dinner .
62,1,woman debugs useful program .
63,0,man cooks tasty meal .
64,0,skillful person cooks meal .
65,0,person cooks sauce .
66,0,man cooks tasty sauce .
67,1,skillful woman runs program .
68,0,skillful person bakes meal .
69,1,person runs useful program .
